-5.25787,1.46183,2.44833,1.32858,0.45576,-4.3249,1.80295,2.33348,-2.40171,0
-6.24825,1.32632,2.42008,-3.11755,0.45576,-5.25787,1.46183,2.44833,1.32858,0.45576
-6.43548,0.344524,2.38823,1.1515,0.495565,-6.24825,1.32632,2.42008,-3.11755,0.45576
-3.46851,2.31764,2.29235,0.268043,0.0417743,-4.3249,1.80295,2.33348,-2.40171,0
-2.89014,2.3933,1.48008,0.770851,0.0417743,-3.46851,2.31764,2.29235,0.268043,0.0417743
-2.16617,1.92185,0.976504,0.84812,0.0467532,-2.89014,2.3933,1.48008,0.770851,0.0417743
-2.41589,3.1943,1.84543,1.8225,0.0607611,-2.89014,2.3933,1.48008,0.770851,0.0417743
-2.88575,3.94039,1.37365,-2.85751,0.0642106,-2.41589,3.1943,1.84543,1.8225,0.0607611
-3.51634,4.71398,1.43621,1.13112,0.0642106,-2.88575,3.94039,1.37365,-2.85751,0.0642106
-3.50321,5.57639,0.930162,-0.581665,0.0642106,-3.51634,4.71398,1.43621,1.13112,0.0642106
-3.93437,6.45956,0.745498,1.42163,0.0642106,-3.50321,5.57639,0.930162,-0.581665,0.0642106
-1.72687,1.04188,0.795747,0.382797,0.0834626,-2.16617,1.92185,0.976504,0.84812,0.0467532
-1.59724,0.0696607,0.990653,0.103677,0.0847466,-1.72687,1.04188,0.795747,0.382797,0.0834626
-1.25067,-0.151797,1.90216,-1.65044,0.0847466,-1.59724,0.0696607,0.990653,0.103677,0.0847466
-0.906365,-0.986858,2.33126,-1.65862,0.0850759,-1.25067,-0.151797,1.90216,-1.65044,0.0847466
